a b c d
b c d a
c d a e
d a e a
a e a e
e a e a
a e a e
e a e a
a e a f
e a f a
a f a f
f a f a
a f a f
f a f g
a f g f
f g f h
g f h i
f h i f
h i f h
i f h f
f h f h
h f h f
f h f h
h f h f
f h f h
h f h f
f h f h
h f h f
f h f h
h f h f
f h f h
h f h f
f h f h
h f h f
f h f h
h f h f
f h f h
h f h f
f h f h
h f h f
f h f h
h f h f
f h f h
h f h f
f h f h
h f h j
f h j k
h j k f
j k f j
k f j f
f j f h
j f h f
f h f j
h f j g
f j g l
j g l g
g l g l
l g l g
g l g l
l g l g
g l g l
l g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g h
l g h l
g h l g
h l g l
l g l g
g l g l
l g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f g
g f g l
f g l g
g l g l
l g l h
g l h j
l h j f
h j f h
j f h j
f h j g
h j g l
j g l g
g l g l
l g l g
g l g f
l g f g
g f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f h
g f h f
f h f g
h f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f g
g f g l
f g l h
g l h g
l h g l
h g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f g
g f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g h
l g h f
g h f g
h f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f h
g f h f
f h f g
h f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f h
g f h f
f h f g
h f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f g
g f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l h
g l h g
l h g l
h g l g
g l g f
l g f g
g f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f g
g f g l
f g l h
g l h g
l h g l
h g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f g
g f g l
f g l g
g l g l
l g l j
g l j g
l j g h
j g h l
g h l g
h l g l
l g l g
g l g f
l g f g
g f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g h
l g h l
g h l g
h l g f
l g f g
g f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f h
g f h f
f h f g
h f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f g
g f g l
f g l g
g l g l
l g l j
g l j g
l j g h
j g h l
g h l g
h l g l
l g l g
g l g f
l g f g
g f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f h
g f h f
f h f g
h f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f g
g f g l
f g l h
g l h g
l h g l
h g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f g
g f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f h
g f h f
f h f g
h f g l
f g l g
g l g l
l g l j
g l j g
l j g l
j g l g
g l g l
l g l g
g l g f
l g f g
g f g l
f g l g
g l g l
l g l h
g l h j
l h j f
h j f h
j f h f
f h f j
h f j g
f j g l
j g l g
g l g l
